Households,"Households: Less than $2,500","Households: $2,500 to $4,999","Households: $5,000 to $7,499","Households: $7,500 to $9,999","Households: $10,000 to $12,499","Households: $12,500 to $14,999","Households: $15,000 to $17,499","Households: $17,500 to $19,999","Households: $20,000 to $22,499","Households: $22,500 to $24,999","Households: $25,000 to $27,499","Households: $27,500 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $49,999","Households: $50,000 to $74,999","Households: $75,000 or more","% Households: Less than $2,500","% Households: $2,500 to $4,999","% Households: $5,000 to $7,499","% Households: $7,500 to $9,999","% Households: $10,000 to $12,499","% Households: $12,500 to $14,999","% Households: $15,000 to $17,499","% Households: $17,500 to $19,999","% Households: $20,000 to $22,499","% Households: $22,500 to $24,999","% Households: $25,000 to $27,499","% Households: $27,500 to $29,999","% Households: $30,000 to $34,999","% Households: $35,000 to $39,999","% Households: $40,000 to $49,999","% Households: $50,000 to $74,999","% Households: $75,000 or more"
17588,497,947,1071,1176,1245,1183,1310,1374,1444,1198,1132,910,1470,909,931,584,207,2.83,5.38,6.09,6.69,7.08,6.73,7.45,7.81,8.21,6.81,6.44,5.17,8.36,5.17,5.29,3.32,1.18
27775,903,1868,2064,1967,1826,1695,2247,2021,2167,1803,1859,1318,2262,1281,1363,814,317,3.25,6.73,7.43,7.08,6.57,6.1,8.09,7.28,7.8,6.49,6.69,4.75,8.14,4.61,4.91,2.93,1.14
31806,892,2203,2306,2339,2389,2321,2614,2400,2748,2104,1872,1654,2377,1356,1225,760,246,2.8,6.93,7.25,7.35,7.51,7.3,8.22,7.55,8.64,6.62,5.89,5.2,7.47,4.26,3.85,2.39,0.77
9688,519,1068,929,860,960,859,825,661,657,576,444,310,380,210,253,122,55,5.36,11.02,9.59,8.88,9.91,8.87,8.52,6.82,6.78,5.95,4.58,3.2,3.92,2.17,2.61,1.26,0.57
323150,14616,25673,23217,25070,28100,23807,25333,22660,22642,19039,16870,14255,21873,13331,14548,8255,3861,4.52,7.94,7.18,7.76,8.7,7.37,7.84,7.01,7.01,5.89,5.22,4.41,6.77,4.13,4.5,2.55,1.19
12533,404,883,734,832,1028,935,1012,955,1132,774,834,591,912,562,488,357,100,3.22,7.05,5.86,6.64,8.2,7.46,8.07,7.62,9.03,6.18,6.65,4.72,7.28,4.48,3.89,2.85,0.8
10301,624,1107,951,879,1022,738,768,656,724,565,510,415,559,254,289,162,78,6.06,10.75,9.23,8.53,9.92,7.16,7.46,6.37,7.03,5.48,4.95,4.03,5.43,2.47,2.81,1.57,0.76
22872,416,854,883,1058,1157,1171,1523,1513,1760,1487,1563,1294,2456,1644,2003,1398,692,1.82,3.73,3.86,4.63,5.06,5.12,6.66,6.62,7.69,6.5,6.83,5.66,10.74,7.19,8.76,6.11,3.03
43003,1501,2484,2253,2746,2919,2877,3246,3094,3117,2847,2801,2290,3813,2627,2647,1363,378,3.49,5.78,5.24,6.39,6.79,6.69,7.55,7.19,7.25,6.62,6.51,5.33,8.87,6.11,6.16,3.17,0.88
15043,714,1646,1402,1424,1490,1201,1232,1076,1220,734,837,443,660,402,310,179,73,4.75,10.94,9.32,9.47,9.9,7.98,8.19,7.15,8.11,4.88,5.56,2.94,4.39,2.67,2.06,1.19,0.49
